TadDens,MFDens,SampleDate,AFDM.Alg
20,125,2-Aug,0.0000625
20,250,2-Aug,0.00016875
0,0,2-Aug,0.0001125
10,0,2-Aug,0.00015625
2,250,2-Aug,0.00008125
10,250,2-Aug,5.00E-05
0,0,2-Aug,0.00006875
0,25,2-Aug,0.0000625
10,25,2-Aug,0.00034375
2,125,2-Aug,0.000125
2,0,2-Aug,0.000225
0,125,2-Aug,0.00019375
0,250,2-Aug,0.0001
20,25,2-Aug,0.0001
2,25,2-Aug,0.00051875
10,125,2-Aug,0.0004875
20,0,2-Aug,0.00015625
20,125,24-Aug,8.70E-06
20,250,24-Aug,6.09E-05
0,0,24-Aug,0.000230435
10,0,24-Aug,5.65E-05
2,250,24-Aug,0.000113043
10,250,24-Aug,0.000265217
0,0,24-Aug,0.000195652
0,25,24-Aug,0.000178261
10,25,24-Aug,0.000317391
2,125,24-Aug,8.70E-05
2,0,24-Aug,0.000243478
0,125,24-Aug,0.00023913
0,250,24-Aug,6.09E-05
20,25,24-Aug,3.91E-05
2,25,24-Aug,0.000391304
10,125,24-Aug,0.00026087
20,0,24-Aug,0.0002
20,125,12-Sep,0.000210526
20,250,12-Sep,0.000236842
0,0,12-Sep,0.000231579
10,0,12-Sep,0.000189474
2,250,12-Sep,0.000105263
10,250,12-Sep,0.000247368
0,0,12-Sep,0.000226316
0,25,12-Sep,0.000205263
10,25,12-Sep,0.000347368
2,125,12-Sep,8.42E-05
2,0,12-Sep,0.000163158
0,125,12-Sep,0.000105263
0,250,12-Sep,3.68E-05
20,25,12-Sep,6.84E-05
2,25,12-Sep,0.000284211
10,125,12-Sep,0.000305263
20,0,12-Sep,0.000136842
