TadDens,MFDens,2Aug,24Aug,12Sep
20,125,0.0000625,8.69565E-06,100
20,250,0.000125,8.69565E-05,8.42105E-05
0,0,0.00038125,0.000243478,0.000163158
10,0,0.00019375,0.00023913,0.000105263
2,250,0.0001,3.47826E-05,0.000105263
10,250,0.0001,3.91304E-05,100
0,0,0.00051875,0.000391304,0.000284211
0,25,0.0004875,0.00026087,0.000305263
10,25,100,0.0002,0.000136842
2,125,0.00016875,6.08696E-05,0.000236842
2,0,0.0001125,0.000230435,0.000231579
0,125,0.00015625,5.65217E-05,0.000189474
0,250,0.00008125,0.000113043,0.000105263
20,25,5E-05,0.000265217,0.000247368
2,25,0.00006875,0.000195652,0.000226316
10,125,0.0000625,0.000178261,0.000205263
20,0,0.00034375,0.000317391,0.000347368
